epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8038,1.00798,2.92407,1.08121,0.80324,0.77744,0.86187,0.68412,0.79121,1.30772,0.97236,0.00330827,0.00330827,0.0702256
2,81.4566,0.88098,1.20716,0.9956,0.69172,0.63926,0.69408,0.49316,1.13488,1.55463,1.1948,0.00663998,0.00663998,0.0402239
3,120.466,0.91399,1.08228,1.01896,0.82104,0.75545,0.82819,0.61658,0.96635,1.16272,1.09123,0.00996519,0.00996519,0.0102158
4,158.988,0.93607,1.01167,1.03788,0.86898,0.83817,0.90612,0.69858,0.85866,0.82608,1.02928,0.00997803,0.00997803,0.00997803
5,197.879,0.89513,0.87585,1.02053,0.82407,0.62961,0.73473,0.53993,1.09907,1.37165,1.21531,0.00996097,0.00996097,0.00996097
6,237.689,0.87183,0.79252,1.0121,0.84025,0.73185,0.82388,0.6227,0.94178,1.20263,1.07403,0.00993906,0.00993906,0.00993906
7,277.053,0.85331,0.75216,1.00729,0.95492,0.91902,0.97049,0.77757,0.75394,0.54051,0.96947,0.00991232,0.00991232,0.00991232
8,316.396,0.84359,0.70869,1,0.94736,0.91274,0.96578,0.77708,0.76174,0.55371,0.97458,0.00988079,0.00988079,0.00988079
9,355.644,0.82537,0.67375,0.99064,0.93949,0.91492,0.96788,0.78555,0.74004,0.52461,0.96677,0.00984449,0.00984449,0.00984449
10,394.715,0.81855,0.65281,0.99189,0.94808,0.91615,0.96666,0.79132,0.72092,0.51405,0.9588,0.00980345,0.00980345,0.00980345
11,433.653,0.808,0.63714,0.98434,0.93366,0.92609,0.96839,0.78591,0.75065,0.51665,0.97843,0.00975773,0.00975773,0.00975773
12,473.185,0.80377,0.6188,0.98032,0.96615,0.93835,0.97783,0.80021,0.71787,0.46098,0.95209,0.00970736,0.00970736,0.00970736
13,512.577,0.78652,0.6065,0.97403,0.96314,0.94826,0.98316,0.81333,0.6927,0.43282,0.94484,0.00965239,0.00965239,0.00965239
14,551.644,0.78022,0.58886,0.97375,0.95469,0.92347,0.97612,0.80286,0.72745,0.48341,0.96095,0.00959289,0.00959289,0.00959289
15,590.766,0.76844,0.57695,0.96795,0.96945,0.95408,0.98411,0.82036,0.68685,0.42194,0.94462,0.00952889,0.00952889,0.00952889
16,629.989,0.7727,0.56821,0.97295,0.97716,0.95526,0.98654,0.83105,0.66812,0.40269,0.93543,0.00946048,0.00946048,0.00946048
17,669.262,0.76566,0.56039,0.96712,0.96557,0.96022,0.98511,0.82356,0.67773,0.42099,0.93961,0.00938772,0.00938772,0.00938772
18,708.515,0.75961,0.55511,0.9643,0.96352,0.94904,0.9834,0.82199,0.67607,0.40923,0.93667,0.00931067,0.00931067,0.00931067
19,747.796,0.75787,0.55076,0.96888,0.97238,0.96508,0.98635,0.82787,0.66811,0.38181,0.93183,0.00922942,0.00922942,0.00922942
20,787.118,0.74434,0.54211,0.95919,0.96627,0.96419,0.98491,0.82984,0.66084,0.39023,0.93005,0.00914405,0.00914405,0.00914405
21,826.253,0.7445,0.53371,0.95762,0.97353,0.96606,0.98607,0.82456,0.66862,0.39072,0.93498,0.00905463,0.00905463,0.00905463
22,865.536,0.74116,0.5283,0.95524,0.98285,0.95622,0.98807,0.82795,0.6678,0.37465,0.93351,0.00896127,0.00896127,0.00896127
23,904.772,0.73969,0.5249,0.95842,0.9753,0.96428,0.98898,0.83897,0.65244,0.36581,0.92453,0.00886404,0.00886404,0.00886404
24,944.089,0.73196,0.51194,0.95565,0.98064,0.95483,0.98643,0.83651,0.66121,0.37928,0.9314,0.00876305,0.00876305,0.00876305
25,983.153,0.72838,0.51299,0.95001,0.97587,0.96682,0.98807,0.8389,0.65233,0.35808,0.92408,0.00865839,0.00865839,0.00865839
26,1022.5,0.72344,0.50844,0.94944,0.98323,0.96342,0.98937,0.84254,0.65293,0.35368,0.92621,0.00855018,0.00855018,0.00855018
27,1061.83,0.72583,0.50951,0.94937,0.98263,0.97133,0.98981,0.84568,0.63767,0.34282,0.9185,0.00843851,0.00843851,0.00843851
28,1100.97,0.72296,0.5001,0.95073,0.98431,0.96596,0.98973,0.83626,0.64416,0.34354,0.92421,0.00832349,0.00832349,0.00832349
29,1140.13,0.71659,0.49175,0.94575,0.98002,0.968,0.98791,0.84072,0.64929,0.3478,0.92854,0.00820525,0.00820525,0.00820525
30,1179.35,0.71419,0.48849,0.94204,0.98196,0.97657,0.99087,0.84353,0.6316,0.33154,0.91714,0.00808389,0.00808389,0.00808389
31,1218.62,0.7113,0.4849,0.94291,0.9854,0.96705,0.99044,0.84908,0.63478,0.33436,0.91817,0.00795954,0.00795954,0.00795954
32,1257.95,0.71198,0.48288,0.94429,0.97882,0.97777,0.9907,0.85085,0.62938,0.32734,0.9185,0.00783231,0.00783231,0.00783231
33,1297.3,0.70404,0.47792,0.93856,0.98711,0.97248,0.99046,0.85173,0.63055,0.32177,0.916,0.00770234,0.00770234,0.00770234
34,1336.59,0.70025,0.47092,0.93545,0.98829,0.97093,0.99035,0.85164,0.62359,0.32098,0.9126,0.00756976,0.00756976,0.00756976
35,1375.84,0.70057,0.47796,0.93668,0.9827,0.97368,0.98977,0.84561,0.63455,0.32508,0.92026,0.00743468,0.00743468,0.00743468
36,1415.1,0.70353,0.47022,0.94096,0.98066,0.97381,0.98989,0.85097,0.62741,0.32229,0.915,0.00729725,0.00729725,0.00729725
37,1454.57,0.69616,0.46136,0.93596,0.98084,0.97909,0.9913,0.85009,0.62563,0.31204,0.91612,0.00715761,0.00715761,0.00715761
38,1493.8,0.6915,0.45825,0.93494,0.98267,0.97386,0.99109,0.8504,0.62025,0.30971,0.9121,0.00701588,0.00701588,0.00701588
39,1533.19,0.69206,0.45654,0.93368,0.98378,0.98327,0.99209,0.85154,0.62484,0.30626,0.91254,0.00687222,0.00687222,0.00687222
40,1572.45,0.68824,0.45672,0.93246,0.98825,0.97921,0.99212,0.85408,0.62444,0.30762,0.91293,0.00672675,0.00672675,0.00672675
41,1611.82,0.69089,0.45701,0.93303,0.98467,0.98222,0.9921,0.85748,0.61467,0.29687,0.90722,0.00657963,0.00657963,0.00657963
42,1651.08,0.6799,0.44906,0.92679,0.98346,0.98185,0.99164,0.8566,0.61735,0.3011,0.90889,0.00643101,0.00643101,0.00643101
43,1690.46,0.67856,0.44581,0.92759,0.98742,0.97748,0.9921,0.86114,0.61519,0.29692,0.90635,0.00628101,0.00628101,0.00628101
44,1729.77,0.681,0.44251,0.92851,0.98399,0.9814,0.99227,0.85544,0.61804,0.2982,0.90802,0.00612981,0.00612981,0.00612981
45,1769.22,0.67667,0.43609,0.92493,0.985,0.9803,0.9919,0.85786,0.61055,0.29217,0.90574,0.00597754,0.00597754,0.00597754
46,1807.92,0.67688,0.43658,0.92493,0.98534,0.97901,0.99182,0.86133,0.61008,0.2936,0.90525,0.00582435,0.00582435,0.00582435
47,1846.39,0.66633,0.43142,0.92273,0.98671,0.9836,0.99182,0.86084,0.60991,0.28781,0.90546,0.0056704,0.0056704,0.0056704
48,1885.97,0.67286,0.42786,0.92297,0.98662,0.98529,0.99241,0.86329,0.60875,0.28354,0.90407,0.00551584,0.00551584,0.00551584
49,1924.86,0.6642,0.4275,0.91915,0.98638,0.98366,0.99273,0.86446,0.60467,0.28359,0.90122,0.00536081,0.00536081,0.00536081
50,1964.08,0.67022,0.42803,0.92208,0.99035,0.98164,0.99268,0.86149,0.61015,0.28181,0.90476,0.00520548,0.00520548,0.00520548
51,2003.27,0.66599,0.42745,0.9203,0.99033,0.98009,0.99302,0.86335,0.60546,0.28256,0.9029,0.00505,0.00505,0.00505
52,2042.87,0.66349,0.42024,0.9187,0.9908,0.98118,0.99225,0.86306,0.60561,0.28179,0.90063,0.00489452,0.00489452,0.00489452
